epochs,data_type,macro_f1,micro_f1
0,train,0.19380034894904047,0.2597746852220013
0,test,0.19539954502380935,0.2530503978779841
1,train,0.2518107445568233,0.2982107355864811
1,test,0.26805866859917143,0.31511936339522545
2,train,0.34372088915111587,0.4390987408880053
2,test,0.3485764602081338,0.4397877984084881
3,train,0.3180246092604099,0.5268389662027833
3,test,0.31191434786335775,0.5310344827586206
4,train,0.39098536461378475,0.5732273028495692
4,test,0.40801492413525625,0.5862068965517241
5,train,0.4360685864972861,0.5805168986083499
5,test,0.4540946783767306,0.5920424403183023
6,train,0.31958649647322307,0.35758780649436706
6,test,0.32761892210211796,0.36923076923076925
7,train,0.40985227356483644,0.5506958250497018
7,test,0.4360187158608967,0.5681697612732095
8,train,0.4108964823050453,0.4828363154406892
8,test,0.4238859405813261,0.4986737400530504
9,train,0.3780455028764661,0.3854208084824387
9,test,0.39579077587691,0.4010610079575597
10,train,0.44235883291487266,0.47554671968190854
10,test,0.44169092303888746,0.4753315649867374
11,train,0.37417195710558737,0.4673293571901922
11,test,0.38846044127003637,0.48116710875331564
12,train,0.37840049815036964,0.4049039098740888
12,test,0.3848145229836045,0.4196286472148541
13,train,0.42463363075313953,0.6197481776010603
13,test,0.44469877150449466,0.6238726790450928
14,train,0.3196647716603393,0.42372432074221333
14,test,0.3372375104389384,0.4387267904509284
15,train,0.4584732056438706,0.5483101391650099
15,test,0.47330054919425846,0.5612732095490717
16,train,0.4402969851345109,0.47170311464546055
16,test,0.45767221859313995,0.4944297082228117
17,train,0.429571857521749,0.5155732273028496
17,test,0.4551902580227436,0.5389920424403183
18,train,0.251228341500143,0.32922465208747514
18,test,0.25510776495900334,0.3389920424403183
19,train,0.21951902072873394,0.20768721007289595
19,test,0.21848340351487933,0.21061007957559685
20,train,0.25050860118663804,0.3118621603711067
20,test,0.2645796791642972,0.3230769230769231
21,train,0.3679808069557298,0.42319416832339296
21,test,0.3678713993733438,0.4286472148541114
22,train,0.3311264610450396,0.34287607687210075
22,test,0.3296767834129051,0.3458885941644562
23,train,0.5398586050053835,0.6302186878727635
23,test,0.5760174295974156,0.6551724137931034
24,train,0.6148186589886004,0.7207422133863486
24,test,0.6422053992575003,0.7336870026525197
25,train,0.5439831720113915,0.5958913187541418
25,test,0.5497438911846653,0.6005305039787798
26,train,0.3174572223780744,0.3798542080848244
26,test,0.31795632302880533,0.3840848806366048
27,train,0.4380547398804905,0.45102717031146455
27,test,0.45792998567490584,0.47586206896551725
28,train,0.41475062509604427,0.5298873426110007
28,test,0.4191530095140562,0.5315649867374005
29,train,0.5922682192148171,0.6459907223326706
29,test,0.5962308964019176,0.6525198938992043
30,train,0.4846822724213582,0.5305500331345262
30,test,0.4811215245644177,0.5262599469496021
31,train,0.5012003245405425,0.5418157720344599
31,test,0.48383150111788986,0.529973474801061
32,train,0.500304591618678,0.5756129887342611
32,test,0.48987750616537795,0.5681697612732095
33,train,0.6679717467975208,0.7322730284956925
33,test,0.6563169282357143,0.7257294429708223
34,train,0.6327604664289359,0.7121272365805169
34,test,0.6411838526802262,0.7108753315649867
35,train,0.523600944519481,0.6139165009940358
35,test,0.5064345361862721,0.6084880636604775
36,train,0.5789068993983422,0.6364479787939032
36,test,0.5830634982837823,0.6387267904509284
37,train,0.45691805513811146,0.4795228628230616
37,test,0.43719194881493556,0.4636604774535809
38,train,0.6223294168557518,0.6775347912524851
38,test,0.6236326787381569,0.6705570291777189
39,train,0.5462618805052878,0.6473161033797217
39,test,0.5402458225681206,0.6429708222811671
40,train,0.45283443400038015,0.5015241882041087
40,test,0.43709277822236536,0.48488063660477454
41,train,0.5469614272135453,0.6458581842279656
41,test,0.5387100891124371,0.6424403183023872
42,train,0.5539615901244828,0.5990722332670643
42,test,0.5342948744513544,0.5867374005305039
43,train,0.3519248114066311,0.3550695825049702
43,test,0.3402431309231329,0.35172413793103446
44,train,0.7009880002460216,0.7928429423459246
44,test,0.6805280086013851,0.7771883289124668
45,train,0.5453396859343027,0.6192180251822399
45,test,0.5470850475868432,0.6238726790450928
46,train,0.2365540142291342,0.268389662027833
46,test,0.23289065097055378,0.26047745358090185
47,train,0.632354527214031,0.7027170311464546
47,test,0.6218923463640273,0.6938992042440318
48,train,0.6912395236657701,0.7753479125248509
48,test,0.6648393548041444,0.7538461538461538
49,train,0.658588238177521,0.7451292246520876
49,test,0.630837034404808,0.7246684350132625
50,train,0.6748519936600818,0.7453943008614977
50,test,0.6615425157223509,0.7283819628647216
51,train,0.37799057551369447,0.40742213386348575
51,test,0.367076605379652,0.40477453580901857
52,train,0.4301063096245694,0.45500331345261763
52,test,0.4221878485222309,0.4519893899204244
53,train,0.6032752540101548,0.6539430086149768
53,test,0.5798459239528791,0.6328912466843502
