epochs,data_type,macro_f1,micro_f1
0,train,0.18960612152383982,0.2336646785950961
0,test,0.1892403593877118,0.23076923076923078
1,train,0.3136321436188336,0.4100728959575878
1,test,0.3137174444409595,0.41750663129973475
2,train,0.3165749807014332,0.3713717693836978
2,test,0.32652818249569343,0.38355437665782494
3,train,0.2783092420631419,0.34380384360503646
3,test,0.2734285614112345,0.3458885941644562
4,train,0.32786560682559557,0.4160371106693174
4,test,0.3351159756647634,0.4259946949602122
5,train,0.29120539714459664,0.31398277004638836
5,test,0.3018748699605936,0.3246684350132626
6,train,0.17268222680200876,0.1648774022531478
6,test,0.1785902452646809,0.16286472148541115
7,train,0.3353640374923593,0.5387673956262425
7,test,0.3435153882266733,0.5326259946949602
8,train,0.31458119655515787,0.32842942345924453
8,test,0.32413822535271114,0.3320954907161804
9,train,0.2720272172284114,0.4344599072233267
9,test,0.27444349169328525,0.4360742705570292
10,train,0.297036577840125,0.2970178926441352
10,test,0.29230262830868603,0.29708222811671087
11,train,0.33271439967992655,0.35347912524850894
11,test,0.33414088731941005,0.3570291777188329
12,train,0.21316259116042552,0.2595096090125911
12,test,0.21455786809623806,0.25888594164456236
13,train,0.4008596539009357,0.45579854208084825
13,test,0.393677215363342,0.4525198938992042
14,train,0.427600485958449,0.4531477799867462
14,test,0.4370406427474083,0.4679045092838196
15,train,0.48028296327138775,0.5324055666003976
15,test,0.48782958684539474,0.5384615384615384
16,train,0.4856552517757088,0.5469847581179589
16,test,0.49122459655409345,0.5511936339522546
17,train,0.5474641688682543,0.6328694499668654
17,test,0.555952117846853,0.6291777188328912
18,train,0.5699784516532043,0.6523525513585156
18,test,0.5933290273156722,0.6795755968169761
19,train,0.5045309903527335,0.5620941020543406
19,test,0.5104667714272406,0.5660477453580902
20,train,0.20462619901832285,0.21073558648111332
20,test,0.21701700466302615,0.223342175066313
21,train,0.48755473392136023,0.6754141815772035
21,test,0.4832539121813486,0.6716180371352786
22,train,0.45289561116462834,0.6652087475149105
22,test,0.46356672713245495,0.6663129973474801
23,train,0.6484606006877145,0.7346587143803843
23,test,0.6567788260922762,0.736870026525199
24,train,0.3693944699551595,0.5236580516898608
24,test,0.37180742138992623,0.5315649867374005
25,train,0.5675267189314276,0.6320742213386349
25,test,0.5450412832677036,0.6148541114058356
26,train,0.4599781997883564,0.6882703777335984
26,test,0.4647076082867564,0.683289124668435
27,train,0.4886724730552242,0.5484426772697151
27,test,0.48350542710411937,0.5527851458885942
28,train,0.5361421085978255,0.5889993373094765
28,test,0.5511987825133378,0.5957559681697613
29,train,0.5506163334854796,0.609012591119947
29,test,0.5521830247281814,0.6095490716180372
30,train,0.6006197672601445,0.6442677269715044
30,test,0.6089649251462571,0.6461538461538462
31,train,0.37342948846403956,0.5125248508946322
31,test,0.3639816249274661,0.4997347480106101
32,train,0.43674710934125754,0.49582504970178926
32,test,0.44196998022511647,0.496551724137931
33,train,0.49295704410994806,0.6616302186878728
33,test,0.5212578607743377,0.6673740053050398
34,train,0.635863120368904,0.7263088137839627
34,test,0.6049699224271944,0.6923076923076923
35,train,0.3515144605478028,0.39787939032471836
35,test,0.35595429765274694,0.40477453580901857
36,train,0.5960713174777034,0.6755467196819086
36,test,0.5766602683773777,0.659946949602122
37,train,0.6626162295190452,0.7501656726308815
37,test,0.6250763583368697,0.7151193633952254
38,train,0.5734362872559184,0.6135188866799205
