epochs,data_type,macro_f1,micro_f1
0,train,0.4943595626995615,0.676076872100729
0,test,0.5276232451949283,0.6875331564986737
1,train,0.6019299869494926,0.7626242544731612
1,test,0.6247376853604388,0.7607427055702918
2,train,0.6188454539835967,0.7634194831013916
2,test,0.620789821325447,0.7596816976127321
3,train,0.5354838900076964,0.6491716368455931
3,test,0.5365714454866942,0.646684350132626
4,train,0.5521939879825076,0.7313452617627568
4,test,0.5570553505063224,0.7289124668435013
5,train,0.5967272684361034,0.7248508946322069
5,test,0.598772954027412,0.7204244031830238
6,train,0.6547497873110719,0.774155069582505
6,test,0.6488044261966025,0.7628647214854112
7,train,0.5140317523584447,0.6573889993373094
7,test,0.5118621344518904,0.6551724137931034
8,train,0.7172408108505854,0.7994698475811796
8,test,0.7050814218218948,0.7856763925729443
9,train,0.665286929652835,0.7778661365142479
9,test,0.655021922477877,0.7697612732095491
10,train,0.6767026664495681,0.7683233929754805
10,test,0.658732014920014,0.7511936339522546
11,train,0.6675056172217257,0.7530815109343937
11,test,0.647956564234453,0.736870026525199
12,train,0.7403321265286743,0.8216037110669318
12,test,0.7115184218117877,0.8053050397877984
13,train,0.7945231002763207,0.8595096090125911
13,test,0.7741187551295245,0.8419098143236073
14,train,0.7448566010097074,0.7996023856858847
14,test,0.7280763047979282,0.7777188328912467
15,train,0.6520758383076273,0.7206096752816434
15,test,0.6386645263725415,0.7204244031830238
16,train,0.6968831338798197,0.7675281643472498
16,test,0.6794867853508799,0.7517241379310344
17,train,0.7548666654582226,0.8225314777998675
17,test,0.7292608602862574,0.8021220159151194
18,train,0.7581383585864486,0.8263750828363154
18,test,0.7356844576978638,0.8015915119363395
19,train,0.7349365198378494,0.798674618952949
19,test,0.7069764977049688,0.7660477453580903
20,train,0.8237835678402503,0.8799204771371769
20,test,0.7859478311170792,0.8429708222811672
21,train,0.7398014849132831,0.8124585818422797
21,test,0.7030875101896867,0.7787798408488064
22,train,0.7767662515590721,0.8340622929092114
22,test,0.7220802702853671,0.7946949602122015
23,train,0.7990970576512619,0.8543406229290921
23,test,0.7413631879583045,0.8021220159151194
24,train,0.777342227566445,0.8463883366467859
24,test,0.7379490677632519,0.8169761273209549
25,train,0.7401091603647476,0.7893969516235918
25,test,0.69908258353146,0.753315649867374
26,train,0.7386872262432667,0.7752153744201458
26,test,0.6922972844792348,0.7310344827586208
27,train,0.7517909889942472,0.8111332007952288
27,test,0.6996784991525984,0.7718832891246685
28,train,0.7921944761288492,0.8368455931080185
28,test,0.741641338900335,0.7920424403183024
29,train,0.7883823010713158,0.8489065606361829
29,test,0.7247747436529235,0.7941644562334218
30,train,0.6269701465496332,0.6424121935056328
30,test,0.5795184203570308,0.5989389920424403
31,train,0.7939581319903487,0.849039098740888
31,test,0.7278231578833958,0.789920424403183
32,train,0.8344571532426178,0.8791252485089464
32,test,0.7630255178124621,0.8190981432360742
33,train,0.7725678198238785,0.8397614314115308
33,test,0.7053371092275996,0.7846153846153847
34,train,0.7502769413362229,0.8034459907223328
34,test,0.6594599637483888,0.7273209549071619
35,train,0.7548480513809106,0.7954937044400265
35,test,0.6998866717304137,0.7427055702917771
36,train,0.8139783209651631,0.8611000662690523
36,test,0.7267125720867854,0.7909814323607427
37,train,0.7715384890347753,0.8368455931080185
37,test,0.6969456247037098,0.7750663129973475
38,train,0.7219257432520483,0.7692511597084162
38,test,0.6647536198930334,0.7204244031830238
39,train,0.815335287898554,0.8652087475149105
39,test,0.7099248756126478,0.7809018567639258
40,train,0.7990936236939674,0.849039098740888
40,test,0.7173688845404941,0.7920424403183024
41,train,0.8406680064381016,0.8661365142478463
41,test,0.7366849405795245,0.7835543766578249
42,train,0.8425746108820936,0.872233267064281
42,test,0.7429328408411873,0.8037135278514589
43,train,0.7952902321351702,0.8429423459244533
43,test,0.7083002620761816,0.7687002652519893
44,train,0.7543573511756445,0.8092776673293572
44,test,0.6814896762225238,0.7490716180371354
45,train,0.7811142773026554,0.8380384360503644
45,test,0.69869033953764,0.7697612732095491
46,train,0.7066835265350857,0.7660702451954937
46,test,0.6375352704491112,0.7029177718832891
47,train,0.770172532253788,0.827170311464546
47,test,0.7091816279088852,0.7787798408488064
48,train,0.8607120273700357,0.9017892644135189
48,test,0.7619358779306115,0.8212201591511936
49,train,0.7068286806385353,0.7581179589131877
49,test,0.6580985326300736,0.7098143236074269
50,train,0.7278082821054622,0.7878064943671306
50,test,0.6523311775194655,0.7289124668435013
51,train,0.8902650395383898,0.9220675944333996
51,test,0.7805742316488606,0.843501326259947
52,train,0.8295085758408541,0.8809807819748178
52,test,0.7332632599435007,0.8047745358090186
53,train,0.7862755393009725,0.8401590457256461
53,test,0.7050759648514899,0.7798408488063662
54,train,0.8583530970329258,0.9015241882041088
54,test,0.7435197740135766,0.8180371352785146
55,train,0.8754571412965471,0.9068257123923129
55,test,0.7635120686208281,0.8196286472148541
56,train,0.8484844712262241,0.8693174287607686
56,test,0.7299148329312377,0.7713527851458886
57,train,0.8125164495610114,0.8686547382372433
57,test,0.7063195552309154,0.7904509283819628
58,train,0.8885879752357573,0.9172962226640159
58,test,0.7645977409539275,0.8259946949602122
59,train,0.8735426385065594,0.8960901259111995
59,test,0.7363287467579775,0.8000000000000002
60,train,0.862757847382104,0.9068257123923129
60,test,0.7435745853871707,0.8169761273209549
61,train,0.8643960690209834,0.8868124585818423
61,test,0.7329014874256273,0.7931034482758621
62,train,0.7884592230178348,0.8478462557985421
62,test,0.7049882156619315,0.7771883289124668
63,train,0.8893678140580787,0.9231278992710404
63,test,0.7578041109353985,0.8244031830238727
64,train,0.8911676300340522,0.9149105367793241
64,test,0.7518107645011431,0.8180371352785146
65,train,0.830847111151547,0.8727634194831014
65,test,0.717573979569265,0.7824933687002653
66,train,0.9082732516834577,0.9325381047051027
66,test,0.767479642022485,0.8323607427055703
67,train,0.9033433762219613,0.9214049039098741
67,test,0.7630102243690547,0.8148541114058355
68,train,0.8979531421674043,0.928959575878065
68,test,0.7570125290285966,0.8286472148541114
69,train,0.7955857208417774,0.8515573227302851
69,test,0.7098916578837586,0.7883289124668436
70,train,0.9107134005236384,0.9313452617627568
70,test,0.7980526730155819,0.843501326259947
71,train,0.8051868004040402,0.8506295559973492
71,test,0.720278625230128,0.7856763925729443
72,train,0.8326129266805967,0.8841616964877402
72,test,0.7167629846710025,0.793633952254642
73,train,0.9027115123436324,0.925115970841617
73,test,0.7450644936987685,0.8137931034482757
74,train,0.7709091567684415,0.8251822398939695
74,test,0.685429016628736,0.7538461538461538
75,train,0.903977260467925,0.9236580516898608
75,test,0.7594794883410488,0.8185676392572945
76,train,0.8754689582403847,0.9094764744864149
76,test,0.7528734662135211,0.8175066312997348
77,train,0.8787299937346866,0.91610337972167
77,test,0.7568960712087532,0.8228116710875332
78,train,0.8533565074111736,0.8895957587806494
78,test,0.7488150729725773,0.8079575596816976
79,train,0.9186113183160167,0.9402253147779986
79,test,0.7735504396004611,0.8413793103448276
80,train,0.8706958193945076,0.9015241882041088
80,test,0.7280155508170354,0.7968169761273208
81,train,0.8875345650990292,0.9137176938369781
81,test,0.7598269545811982,0.8137931034482757
82,train,0.8046503015597578,0.8540755467196819
82,test,0.6971949891844142,0.7681697612732096
83,train,0.9234904846018823,0.9460569913850232
83,test,0.7874036872067551,0.8466843501326261
84,train,0.9463216561253456,0.9601060304837641
84,test,0.7801997683669548,0.8461538461538461
85,train,0.8574630028404542,0.8974155069582505
85,test,0.735593138458637,0.8079575596816976
86,train,0.9176520266880155,0.940622929092114
86,test,0.766894348973239,0.8344827586206898
87,train,0.8093607541513442,0.8719681908548709
87,test,0.6871086706928036,0.7803713527851459
88,train,0.8006829704440357,0.8538104705102717
88,test,0.7082543781130649,0.7846153846153847
89,train,0.9099383693282116,0.9383697813121272
89,test,0.7794229058196768,0.8424403183023874
90,train,0.9293497596030942,0.94831013916501
90,test,0.7822395854592761,0.8350132625994695
91,train,0.8995639959142439,0.9288270377733598
91,test,0.7687367718398141,0.8312997347480106
92,train,0.9005956735695986,0.9309476474486414
92,test,0.7813523852296282,0.8408488063660478
93,train,0.7561688713035487,0.7964214711729624
93,test,0.666521203110438,0.7262599469496022
94,train,0.9406908046615614,0.9577203445990722
94,test,0.7943662365223941,0.8572944297082228
95,train,0.8613355947265937,0.9043074884029159
95,test,0.7530160236762486,0.8238726790450929
96,train,0.9342941665750238,0.950960901259112
96,test,0.8051537852989924,0.8557029177718833
97,train,0.9349652458478965,0.9499005964214712
97,test,0.7732374846819872,0.8323607427055703
98,train,0.8935245115602587,0.923790589794566
98,test,0.7565600530580652,0.8297082228116711
99,train,0.8955401999916607,0.9232604373757455
99,test,0.7475623928653428,0.8328912466843501
