epochs,data_type,macro_f1,micro_f1
0,train,0.2453556824695351,0.3567925778661365
0,test,0.2415044506183747,0.3580901856763926
1,train,0.3732209438552039,0.6497017892644135
1,test,0.3733150479899613,0.6371352785145888
2,train,0.318309452890784,0.6363154406891981
2,test,0.31875673130923843,0.6397877984084881
3,train,0.5285689175866214,0.6907886017229954
3,test,0.5530613780911338,0.6907161803713527
4,train,0.5185013584744594,0.6910536779324056
4,test,0.5279125192981705,0.6912466843501326
5,train,0.3755768745780144,0.4197481776010603
5,test,0.3666304925513006,0.41273209549071616
6,train,0.29728902511751676,0.32458581842279655
6,test,0.3035204883776889,0.32413793103448274
7,train,0.23403880216192913,0.25924453280318094
7,test,0.2488360969184485,0.2673740053050398
8,train,0.4900779580933935,0.6241219350563287
8,test,0.49280852919368884,0.6190981432360743
9,train,0.5725217004483181,0.7251159708416169
9,test,0.5816752983451107,0.7310344827586208
10,train,0.48236232846885335,0.6086149768058317
10,test,0.48812974179946655,0.6095490716180372
11,train,0.49937814566039834,0.6422796554009278
11,test,0.5187496788293601,0.6493368700265252
12,train,0.565912110429078,0.6703777335984096
12,test,0.5771346339475866,0.6795755968169761
13,train,0.3644734765991372,0.4584493041749503
13,test,0.3582051293188521,0.45145888594164457
14,train,0.7061987451872662,0.7760106030483765
14,test,0.7096096797879925,0.7708222811671087
15,train,0.6080643053658441,0.7240556660039762
15,test,0.6191410184739043,0.7358090185676393
16,train,0.5234830164139177,0.654208084824387
16,test,0.5390107859836749,0.6578249336870027
17,train,0.6533433179741516,0.7467196819085488
17,test,0.6541263849106745,0.7310344827586208
18,train,0.5264360915560815,0.6208084824387011
18,test,0.5238661425226234,0.6111405835543766
19,train,0.636855782955143,0.7229953611663353
19,test,0.6324767262585642,0.7193633952254641
20,train,0.6138373379155578,0.7390324718356529
20,test,0.6214500689687389,0.7405835543766578
21,train,0.6176028227774653,0.6848243870112657
21,test,0.613911553874064,0.6779840848806366
22,train,0.4981488897096636,0.6098078197481775
22,test,0.4906488774239973,0.6127320954907162
23,train,0.5750107489144494,0.6469184890656063
23,test,0.5734656625339148,0.6408488063660478
24,train,0.6014130625177074,0.6888005301524188
24,test,0.6014816221746212,0.6827586206896552
25,train,0.6134239153577778,0.7206096752816434
25,test,0.596930117563291,0.7007957559681698
26,train,0.5291763509937157,0.5990722332670643
26,test,0.5311863516136149,0.6037135278514589
27,train,0.6031578422155269,0.7098740888005303
27,test,0.5974532872438928,0.7007957559681698
28,train,0.5666355823057077,0.6572564612326044
28,test,0.5456739927073285,0.6424403183023872
29,train,0.5996845321937452,0.7069582504970179
29,test,0.5896804194097454,0.6954907161803714
30,train,0.6139982502529502,0.7098740888005303
30,test,0.605617905241193,0.6970822281167108
31,train,0.6460331240203013,0.7650099403578529
31,test,0.6196164394076522,0.7411140583554376
32,train,0.702392757320202,0.7839628893306826
32,test,0.6840385990597401,0.7612732095490716
33,train,0.595182500757365,0.6763419483101392
33,test,0.5770743256157381,0.6461538461538462
34,train,0.7364064415996359,0.8186878727634195
34,test,0.7104689336629202,0.7931034482758621
35,train,0.6832277590989652,0.7840954274353876
35,test,0.6687382117748829,0.7644562334217506
36,train,0.6631306759752638,0.7597084161696488
36,test,0.6357928635663123,0.7352785145888594
37,train,0.6226990007002764,0.7089463220675944
37,test,0.6045513600520189,0.6992042440318302
38,train,0.521127768695678,0.6291583830351226
38,test,0.49139279341161196,0.6047745358090185
39,train,0.6191445587098403,0.7154406891981445
39,test,0.6012977598657536,0.7050397877984085
40,train,0.6904914588033357,0.790854870775348
40,test,0.6548038746701061,0.7591511936339523
41,train,0.7811976315165845,0.8465208747514911
41,test,0.7415447387730916,0.8153846153846154
42,train,0.6784087628785207,0.7647448641484427
42,test,0.6433564360599247,0.7411140583554376
43,train,0.682557295883169,0.7669980119284294
43,test,0.6579978919045065,0.7458885941644561
44,train,0.7118081293896881,0.7929754804506295
44,test,0.6641943195938913,0.7559681697612732
45,train,0.7389148377187378,0.8214711729622266
45,test,0.6994837441136015,0.7782493368700265
46,train,0.7623333265856298,0.8404241219350564
46,test,0.7098454811453845,0.7984084880636605
47,train,0.609667417540798,0.6841616964877403
47,test,0.6041195928172867,0.6843501326259946
48,train,0.6927895044446915,0.7603711066931742
48,test,0.6649738470458983,0.7395225464190981
49,train,0.7172609021178586,0.7811795891318755
49,test,0.6762093244504145,0.7427055702917771
50,train,0.7523534689825637,0.8161696487740225
50,test,0.6950624794217569,0.773474801061008
51,train,0.6225697331928945,0.7024519549370444
51,test,0.6048856260410951,0.6917771883289124
52,train,0.6804617666959503,0.7773359840954274
52,test,0.6351956693945982,0.7411140583554376
53,train,0.5796630991566032,0.6763419483101392
53,test,0.5589072313907975,0.6493368700265252
54,train,0.816613306580338,0.864546056991385
54,test,0.7569800692470584,0.8159151193633952
55,train,0.5948025224113508,0.6978131212723658
55,test,0.590094130495429,0.6896551724137931
56,train,0.7668561622192948,0.8406891981444665
56,test,0.7065771077696456,0.7904509283819628
57,train,0.5862298715582601,0.685089463220676
57,test,0.5677183632951242,0.6625994694960212
58,train,0.719004845178282,0.7980119284294235
58,test,0.6713967503631495,0.7639257294429709
59,train,0.7753394982642264,0.8511597084161696
59,test,0.7232437537631616,0.8079575596816976
60,train,0.7607793045736437,0.8339297548045063
60,test,0.6966899722720468,0.783023872679045
61,train,0.68983315344161,0.759973492379059
61,test,0.6535908151925806,0.7283819628647216
62,train,0.7529790918261543,0.8123260437375746
62,test,0.6936697949245406,0.7655172413793103
63,train,0.7867015645858069,0.8418820410868124
63,test,0.7360046103010791,0.8037135278514589
64,train,0.807383005988638,0.8621603711066932
64,test,0.7203445594807072,0.7952254641909813
65,train,0.8022054799774084,0.8581842279655401
65,test,0.7480872216073597,0.8132625994694959
66,train,0.4545784206936879,0.6047713717693837
66,test,0.45383558064658525,0.6015915119363395
67,train,0.8414089142918968,0.8889330682571239
67,test,0.7620250589270696,0.8312997347480106
68,train,0.7654489954902395,0.805168986083499
68,test,0.7158792622229279,0.7575596816976128
69,train,0.7967580235496279,0.837508283631544
69,test,0.7318214898340633,0.7893899204244031
70,train,0.685563038942215,0.7501656726308815
70,test,0.6313040156387363,0.7098143236074269
71,train,0.8113661099068796,0.8577866136514248
71,test,0.7281495943165885,0.7867374005305039
72,train,0.812227166256069,0.8701126573889993
72,test,0.7418823057423352,0.8206896551724138
73,train,0.8214374143761901,0.8650762094102055
73,test,0.7425448385161324,0.8026525198938992
74,train,0.6796290340700036,0.766467859509609
74,test,0.6432731145903929,0.7395225464190981
75,train,0.8224882452624522,0.8775347912524851
75,test,0.7397080515687309,0.8095490716180371
76,train,0.8193517336184207,0.8667992047713717
76,test,0.7207497959462309,0.7915119363395225
77,train,0.7889117454583046,0.8449304174950298
77,test,0.6932707898694661,0.7708222811671087
78,train,0.7739754266194168,0.8341948310139164
78,test,0.7053894627456225,0.7814323607427056
79,train,0.7519295133725767,0.8204108681245859
79,test,0.6987086546801354,0.7755968169761274
80,train,0.8629799917723782,0.8996686547382372
80,test,0.7692479553118161,0.8302387267904511
81,train,0.7413465053240471,0.8018555334658715
81,test,0.667255121369451,0.7358090185676393
82,train,0.8000441497633087,0.8526176275679258
82,test,0.7182947364472196,0.793633952254642
83,train,0.8718376774773298,0.910934393638171
83,test,0.7798882734208099,0.8366047745358091
84,train,0.7991707733574773,0.8587143803843605
84,test,0.7280452683472487,0.8000000000000002
85,train,0.7700157146756333,0.8392312789927104
85,test,0.7086637522845575,0.7809018567639258
86,train,0.8852465142756225,0.9165009940357853
86,test,0.7504364976863781,0.8206896551724138
87,train,0.8398347922929359,0.8816434724983433
87,test,0.7384986237364036,0.8021220159151194
88,train,0.8182399281966652,0.8667992047713717
88,test,0.7080258127094533,0.7787798408488064
89,train,0.7040158667259118,0.776673293571902
89,test,0.6344928931200912,0.7198938992042441
90,train,0.8059317656916672,0.8471835652750167
90,test,0.7021541612375191,0.7708222811671087
91,train,0.855356613688054,0.8952948972829688
91,test,0.7098151989145284,0.7915119363395225
92,train,0.8034599008866607,0.8497017892644135
92,test,0.7030881757060108,0.7660477453580903
93,train,0.85281008718664,0.8909211398277005
93,test,0.742784226352595,0.8042440318302387
94,train,0.8359687142767115,0.8702451954937045
94,test,0.7306518860590786,0.7952254641909813
95,train,0.8857385579369769,0.9149105367793241
95,test,0.7723946429888622,0.8344827586206898
96,train,0.8513905563497598,0.8898608349900596
96,test,0.7459406974126477,0.8106100795755968
97,train,0.7866282530533552,0.8258449304174952
97,test,0.7055507168721734,0.7692307692307693
98,train,0.8276211677452802,0.8641484426772698
98,test,0.7152631767203488,0.7809018567639258
99,train,0.8065513704611218,0.8726308813783964
99,test,0.7050489188006823,0.7909814323607427
